route_name,from_stop,to_stop,distance_km
Route 1,Khokrapar,Saudabd,0.78
Route 1,Saudabd,Khokrapar,0.78
Route 1,Saudabd,RCD Ground,1.68
Route 1,RCD Ground,Saudabd,1.68
Route 1,RCD Ground,Kalaboard,1.39
Route 1,Kalaboard,RCD Ground,1.39
Route 1,Kalaboard,Malir Halt,1.55
Route 1,Malir Halt,Kalaboard,1.55
Route 1,Malir Halt,Colony Gate,2.47
Route 1,Colony Gate,Malir Halt,2.47
Route 1,Colony Gate,Nata Khan Bridge,1.42
Route 1,Nata Khan Bridge,Colony Gate,1.42
Route 1,Nata Khan Bridge,Drigh Road Station,1.14
Route 1,Drigh Road Station,Nata Khan Bridge,1.14
Route 1,Drigh Road Station,PAF Base Faisal,13.43
Route 1,PAF Base Faisal,Drigh Road Station,13.43
Route 1,PAF Base Faisal,Laal Kothi,19.56
Route 1,Laal Kothi,PAF Base Faisal,19.56
Route 1,Laal Kothi,Karsaz,3.47
Route 1,Karsaz,Laal Kothi,3.47
Route 1,Karsaz,Nursery,4.9
Route 1,Nursery,Karsaz,4.9
Route 1,Nursery,FTC,9.64
Route 1,FTC,Nursery,9.64
Route 1,FTC,Regent Plaza,1.19
Route 1,Regent Plaza,FTC,1.19
Route 1,Regent Plaza,Metropole,1.12
Route 1,Metropole,Regent Plaza,1.12
Route 1,Metropole,Fawwara Chowk,0.0
Route 1,Fawwara Chowk,Metropole,0.0
Route 1,Fawwara Chowk,Arts Council,1.03
Route 1,Arts Council,Fawwara Chowk,1.03
Route 1,Arts Council,Shaheen Complex,0.2
Route 1,Shaheen Complex,Arts Council,0.2
Route 1,Shaheen Complex,I.I.Chundrigar,0.92
Route 1,I.I.Chundrigar,Shaheen Complex,0.92
Route 1,I.I.Chundrigar,Tower,1.4
Route 1,Tower,I.I.Chundrigar,1.4
Route 1,Tower,Fisheries,21.28
Route 1,Fisheries,Tower,21.28
Route 1,Fisheries,Dockyard,23.43
Route 1,Dockyard,Fisheries,23.43
Route 2,Power House,UP Mor,2.83
Route 2,UP Mor,Power House,2.83
Route 2,UP Mor,Nagan Chowrangi,0.86
Route 2,Nagan Chowrangi,UP Mor,0.86
Route 2,Nagan Chowrangi,Shafiq Morr,1.28
Route 2,Shafiq Morr,Nagan Chowrangi,1.28
Route 2,Shafiq Morr,Sohrab Goth,1.56
Route 2,Sohrab Goth,Shafiq Morr,1.56
Route 2,Sohrab Goth,Gulshan Chowrangi,2.89
Route 2,Gulshan Chowrangi,Sohrab Goth,2.89
Route 2,Gulshan Chowrangi,NIPA,0.96
Route 2,NIPA,Gulshan Chowrangi,0.96
Route 2,NIPA,Johar Morr,2.23
Route 2,Johar Morr,NIPA,2.23
Route 2,Johar Morr,COD,1.43
Route 2,COD,Johar Morr,1.43
Route 2,COD,Drigh Road Station,2.82
Route 2,Drigh Road Station,COD,2.82
Route 2,Drigh Road Station,Colony Gate,2.45
Route 2,Colony Gate,Drigh Road Station,2.45
Route 2,Colony Gate,Shah Faisal Colony,0.83
Route 2,Shah Faisal Colony,Colony Gate,0.83
Route 2,Shah Faisal Colony,Singer Chowrangi,4.96
Route 2,Singer Chowrangi,Shah Faisal Colony,4.96
Route 2,Singer Chowrangi,Khaddi Stop,7.21
Route 2,Khaddi Stop,Singer Chowrangi,7.21
Route 2,Khaddi Stop,Indus Hospital,14.73
Route 2,Indus Hospital,Khaddi Stop,14.73
Route 3,Power House,UP More,2.83
Route 3,UP More,Power House,2.83
Route 3,UP More,Nagan Chowrangi,0.86
Route 3,Nagan Chowrangi,UP More,0.86
Route 3,Nagan Chowrangi,Sakhi Hasan,1.43
Route 3,Sakhi Hasan,Nagan Chowrangi,1.43
Route 3,Sakhi Hasan,5 Star Chowrangi,1.92
Route 3,5 Star Chowrangi,Sakhi Hasan,1.92
Route 3,5 Star Chowrangi,KDA Chowrangi,1.62
Route 3,KDA Chowrangi,5 Star Chowrangi,1.62
Route 3,KDA Chowrangi,Board Office,2.22
Route 3,Board Office,KDA Chowrangi,2.22
Route 3,Board Office,Nazimabad Eid Gah Ground,1.59
Route 3,Nazimabad Eid Gah Ground,Board Office,1.59
Route 3,Nazimabad Eid Gah Ground,Liaquatabad 10 Number,1.99
Route 3,Liaquatabad 10 Number,Nazimabad Eid Gah Ground,1.99
Route 3,Liaquatabad 10 Number,Essa Nagri,2.36
Route 3,Essa Nagri,Liaquatabad 10 Number,2.36
Route 3,Essa Nagri,Civic Centre,1.57
Route 3,Civic Centre,Essa Nagri,1.57
Route 3,Civic Centre,National stadium,1.02
Route 3,National stadium,Civic Centre,1.02
Route 3,National stadium,Karsaz,2.61
Route 3,Karsaz,National stadium,2.61
Route 3,Karsaz,Nursery,4.9
Route 3,Nursery,Karsaz,4.9
Route 3,Nursery,FTC,9.64
Route 3,FTC,Nursery,9.64
Route 3,FTC,Korangi Road,4.05
Route 3,Korangi Road,FTC,4.05
Route 3,Korangi Road,Nasir Jump,4.91
Route 3,Nasir Jump,Korangi Road,4.91
Route 4,Power House,UP Mor,2.83
Route 4,UP Mor,Power House,2.83
Route 4,UP Mor,Nagan Chowrangi,0.86
Route 4,Nagan Chowrangi,UP Mor,0.86
Route 4,Nagan Chowrangi,Shafiq Mor,1.28
Route 4,Shafiq Mor,Nagan Chowrangi,1.28
Route 4,Shafiq Mor,Sohrab Goth,1.56
Route 4,Sohrab Goth,Shafiq Mor,1.56
Route 4,Sohrab Goth,Water Pump,11.49
Route 4,Water Pump,Sohrab Goth,11.49
Route 4,Water Pump,Ayesha Manzil,11.89
Route 4,Ayesha Manzil,Water Pump,11.89
Route 4,Ayesha Manzil,Karimabad,1.18
Route 4,Karimabad,Ayesha Manzil,1.18
Route 4,Karimabad,Liaqautabad 10,1.3
Route 4,Liaqautabad 10,Karimabad,1.3
Route 4,Liaqautabad 10,Laloo Khait,1.15
Route 4,Laloo Khait,Liaqautabad 10,1.15
Route 4,Laloo Khait,Teen Hati,5.5
Route 4,Teen Hati,Laloo Khait,5.5
Route 4,Teen Hati,Jehangir Road,1.4
Route 4,Jehangir Road,Teen Hati,1.4
Route 4,Jehangir Road,Numaish,1.33
Route 4,Numaish,Jehangir Road,1.33
Route 4,Numaish,Mobile Market,1.31
Route 4,Mobile Market,Numaish,1.31
Route 4,Mobile Market,Urdu Bazar,9.6
Route 4,Urdu Bazar,Mobile Market,9.6
Route 4,Urdu Bazar,Civil Hospital,10.99
Route 4,Civil Hospital,Urdu Bazar,10.99
Route 4,Civil Hospital,City Court,0.6
Route 4,City Court,Civil Hospital,0.6
Route 4,City Court,Light House,7.45
Route 4,Light House,City Court,7.45
Route 4,Light House,Bolton Market,6.71
Route 4,Bolton Market,Light House,6.71
Route 4,Bolton Market,Tower,0.41
Route 4,Tower,Bolton Market,0.41
Route 4,Tower,Keamari,3.25
Route 4,Keamari,Tower,3.25
Route 8,Yousuf Goth,Naval Colony,34.0
Route 8,Naval Colony,Yousuf Goth,34.0
Route 8,Naval Colony,Baldia,3.87
Route 8,Baldia,Naval Colony,3.87
Route 8,Baldia,Sher Shah,4.63
Route 8,Sher Shah,Baldia,4.63
Route 8,Sher Shah,Gulbai,1.96
Route 8,Gulbai,Sher Shah,1.96
Route 8,Gulbai,Agra Taj Colony,1.35
Route 8,Agra Taj Colony,Gulbai,1.35
Route 8,Agra Taj Colony,Daryabad,1.39
Route 8,Daryabad,Agra Taj Colony,1.39
Route 8,Daryabad,Jinnah Brige,1.84
Route 8,Jinnah Brige,Daryabad,1.84
Route 8,Jinnah Brige,Tower,0.49
Route 8,Tower,Jinnah Brige,0.49
Route 9,Gulsahan e Hadeed,Salah Uddin Ayubi Road,27.39
Route 9,Salah Uddin Ayubi Road,Gulsahan e Hadeed,27.39
Route 9,Salah Uddin Ayubi Road,Allah Wali Chowrangi,26.47
Route 9,Allah Wali Chowrangi,Salah Uddin Ayubi Road,26.47
Route 9,Allah Wali Chowrangi,National Highway 5,3.01
Route 9,National Highway 5,Allah Wali Chowrangi,3.01
Route 9,National Highway 5,Steel Mill More,7.52
Route 9,Steel Mill More,National Highway 5,7.52
Route 9,Steel Mill More,Port Bin Qasim More,21.73
Route 9,Port Bin Qasim More,Steel Mill More,21.73
Route 9,Port Bin Qasim More,Razzakabad,16.96
Route 9,Razzakabad,Port Bin Qasim More,16.96
Route 9,Razzakabad,Abdullah Goth,1.07
Route 9,Abdullah Goth,Razzakabad,1.07
Route 9,Abdullah Goth,Chowkundi More,1.38
Route 9,Chowkundi More,Abdullah Goth,1.38
Route 9,Chowkundi More,Fast University,0.87
Route 9,Fast University,Chowkundi More,0.87
Route 9,Fast University,Bhains Colony More,0.65
Route 9,Bhains Colony More,Fast University,0.65
Route 9,Bhains Colony More,Manzil Pump,2.96
Route 9,Manzil Pump,Bhains Colony More,2.96
Route 9,Manzil Pump,Quaidabad,1.74
Route 9,Quaidabad,Manzil Pump,1.74
Route 9,Quaidabad,Murghi Khana,0.72
Route 9,Murghi Khana,Quaidabad,0.72
Route 9,Murghi Khana,Prince Aly Boys School,2.68
Route 9,Prince Aly Boys School,Murghi Khana,2.68
Route 9,Prince Aly Boys School,Nadra Center Malir,0.0
Route 9,Nadra Center Malir,Prince Aly Boys School,0.0
Route 9,Nadra Center Malir,Malir Session Court,0.0
Route 9,Malir Session Court,Nadra Center Malir,0.0
Route 9,Malir Session Court,Malir 15,0.86
Route 9,Malir 15,Malir Session Court,0.86
Route 9,Malir 15,Kalaboard,1.23
Route 9,Kalaboard,Malir 15,1.23
Route 9,Kalaboard,Malir Halt,1.55
Route 9,Malir Halt,Kalaboard,1.55
Route 9,Malir Halt,Colony Gate,2.47
Route 9,Colony Gate,Malir Halt,2.47
Route 9,Colony Gate,Nata Khan Bridge,1.42
Route 9,Nata Khan Bridge,Colony Gate,1.42
Route 9,Nata Khan Bridge,Drigh Road Station,1.14
Route 9,Drigh Road Station,Nata Khan Bridge,1.14
Route 9,Drigh Road Station,PAF Base Faisal,13.43
Route 9,PAF Base Faisal,Drigh Road Station,13.43
Route 9,PAF Base Faisal,Laal Kothi,19.56
Route 9,Laal Kothi,PAF Base Faisal,19.56
Route 9,Laal Kothi,Karsaz,3.47
Route 9,Karsaz,Laal Kothi,3.47
Route 9,Karsaz,Nursery,4.9
Route 9,Nursery,Karsaz,4.9
Route 9,Nursery,FTC,9.64
Route 9,FTC,Nursery,9.64
Route 9,FTC,Regent Plaza,1.19
Route 9,Regent Plaza,FTC,1.19
Route 9,Regent Plaza,Metropole,1.12
Route 9,Metropole,Regent Plaza,1.12
Route 9,Metropole,Fawwara Chowk,0.0
Route 9,Fawwara Chowk,Metropole,0.0
Route 9,Fawwara Chowk,Arts Council,1.03
Route 9,Arts Council,Fawwara Chowk,1.03
Route 9,Arts Council,Shaheen Complex,0.2
Route 9,Shaheen Complex,Arts Council,0.2
Route 9,Shaheen Complex,I.I.Chundrigar,0.92
Route 9,I.I.Chundrigar,Shaheen Complex,0.92
Route 9,I.I.Chundrigar,Tower,1.4
Route 9,Tower,I.I.Chundrigar,1.4
Route 10,Numaish Chowrangi,Mobile Market,1.55
Route 10,Mobile Market,Numaish Chowrangi,1.55
Route 10,Mobile Market,Metropole,1.51
Route 10,Metropole,Mobile Market,1.51
Route 10,Metropole,Frere Hall,0.44
Route 10,Frere Hall,Metropole,0.44
Route 10,Frere Hall,Teen Talwar,1.52
Route 10,Teen Talwar,Frere Hall,1.52
Route 10,Teen Talwar,Do TalwarAbdullah Shah Ghazi,0.0
Route 10,Do TalwarAbdullah Shah Ghazi,Teen Talwar,0.0
Route 10,Do TalwarAbdullah Shah Ghazi,Dolmen Mall,5.56
Route 10,Dolmen Mall,Do TalwarAbdullah Shah Ghazi,5.56
Route 10,Dolmen Mall,Clock Tower DHA,10.94
Route 10,Clock Tower DHA,Dolmen Mall,10.94
Route 10,Clock Tower DHA,26 Street,2.6
Route 10,26 Street,Clock Tower DHA,2.6
Route 10,26 Street,Masjid-e-Ayesha,18.09
Route 10,Masjid-e-Ayesha,26 Street,18.09
Route 10,Masjid-e-Ayesha,Rahat Park,13.95
Route 10,Rahat Park,Masjid-e-Ayesha,13.95
Route 10,Korangi Crossing,CBM University,1.1
